,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito
0,267141.956,27858872.08289,10230100.130314,6864575.384024798,9047205.493406398
1,245020.769,25994200.16707,9719067.340596003,6438494.010723001,8309150.301222395
2,307777.804,27780006.52225002,10244442.508284995,6908522.962076997,8845010.493617997
3,306792.733,29134272.21961001,10312632.366428996,7454251.799721999,9458166.681812003
4,399693.262,27969004.676939998,10147613.34208,6735747.319130901,9220929.862112992
5,368847.326,29132712.7446,10565493.495652994,7337456.597347399,9196110.462846007
6,366990.683,31182302.456590004,10905912.736712996,8183012.3184557,10162899.880877996
7,391525.052,31154880.943740003,11041625.274251005,7899351.016894999,10115176.88118
8,385910.498,30521506.19527,10789170.332050998,7888243.176848,9795878.643451
9,465759.10129,32445983.01393,11220307.426600007,8695476.803280002,11447457.179397
10,506594.70549,33628982.657100014,11657995.803109996,8324348.80678286,12553464.114272805
11,446036.8247,40766322.1043,13710305.37311,11070098.736242607,14576008.2373072
12,376100.1495799999,32479208.00556999,11705433.565544002,8391851.735510603,11256746.646177003
13,379379.71864,31736824.55214,10720300.947148008,8607859.2800684,11364650.340209996
14,475878.27403,36531291.32867001,12955730.464524,9144000.036735997,13175374.632970996
15,491474.68862,34113745.66680001,11685359.587512009,8980714.557799002,12193290.57827
16,725754.7976899999,35133146.39128,11925300.089559997,8668139.0539873,13241497.643993003
17,593413.63629,38338209.74565996,13517215.493030002,9513855.561389996,13623892.631039994
18,581799.0561899999,39278449.96263997,14061294.336093998,10619025.064987898,13151343.173305005
19,639204.78984,39491907.27419998,13783068.023829997,10164619.777058007,13997246.389675
20,612546.82257,39925548.99754999,14307986.236589996,10187454.21635,14097447.208820008
21,773767.1168,43420253.82247999,15413337.429618,10495359.76456195,16008985.684051717
22,772485.21409,44849446.00603998,15412653.112490004,11132996.566479996,16773555.452833004
23,751599.44123,57203955.86361999,19372979.314990014,16252211.763499994,19596671.42890001
24,693048.47043,45433623.71206,16005633.827199996,11687681.667650005,16222411.460373
25,677957.8397799999,44592144.895340025,15466783.51002,12330583.273768004,15330194.010651998
26,717911.5714899999,51065694.25465001,17737278.503999993,13685678.100496195,17969551.879616998
27,681844.1039799999,49621409.27512004,17102015.742659997,13152280.50607,17736333.211400002
28,964446.87431,50778299.9144,17247751.268843994,13838777.255979998,18013021.917039998
29,821703.3616599999,54413419.61482,17995550.11326,15507030.32112,19225537.23247
30,923140.63296,55044482.25732,18548992.456090007,15609905.9127,19194608.053610004
31,1024177.97836,59672104.45567001,19745340.249500003,16044555.337071996,21781404.017981987
32,997476.22679,57885306.40686999,19561438.284749985,15872044.54628,20612694.849708997
33,1180651.47825,66325579.59368,21884744.730451003,17749686.58293429,24432918.572433
34,1489506.4453500002,67943710.18743,22763201.5517,16506702.373734,26455726.00132099
35,1278463.61382,83524644.2915,27960470.497710004,21105019.72176601,31600065.928096
36,1040882.66074,70145010.27273001,25121140.424074013,16421681.807168407,26279836.484293897
37,980258.51473,72494433.66173999,23982883.637197025,18677850.857655,27241035.986255
38,1603155.57539,85778031.08881997,26532575.533931985,22420795.889567308,33716809.20248102
39,3210641.9290200006,75009596.63855001,22263621.147818018,20850415.685067005,28559526.139535
40,3627916.794580001,78594521.82045001,24917663.39341,19703362.398560006,29750672.202390008
41,3678005.64307,78232859.60185996,24031410.143659983,20569940.21072799,29332592.0091
42,4726974.45707,81140696.22145997,24935747.285053004,22143208.629241403,29569224.40345899
43,4005445.0164,80411973.28758001,24868416.64602999,21188270.691566996,29644413.805833004
44,3944359.19539,77055774.35700998,24268469.258773003,20660854.9840306,27583639.698399987
45,4601678.305080001,89224281.05372998,27348110.49728398,23565536.115426205,33253696.394518998
46,4838176.70645,91093507.31223996,28832513.453409992,23551887.32882601,33470452.079113003
47,3975909.55075,115806128.11518,36284788.051380016,31300615.016610008,41558670.65363998
48,3483037.9868500005,98007583.25283,31878415.60910801,26481717.359305102,34421611.729676
49,3046180.66555,92954233.68111998,30090418.939484,26089199.96886921,32111865.511882994
50,3982669.19388,107225884.48978,33646699.760530025,28304088.351349995,39721336.17659
51,4128007.24374,106870185.88608997,33030717.33914999,28509160.0986,39528435.06
52,5607036.33009,110604694.56479998,33391018.41487,29448299.39426999,41132600.50917
53,4810298.409969999,116287892.95615998,34735136.74001,32637663.36478999,42074159.71627
54,4754454.214929999,125658552.53241004,37973547.560765006,37146178.898209,43727330.43950201
55,4658789.019680001,124840319.9624,38180625.55514,35434522.94616999,44242610.352050014
56,4416780.258529999,123002252.42976004,38080750.85783998,34575381.28240999,43445911.37943999
57,4486843.91995,140487487.26625,43323345.69436999,39697514.9889,50159841.63313002
58,5751181.80928,141701960.658653,43762928.14926002,39925207.44942003,50752243.3906
59,5116430.63427,183983151.87992013,56640033.14703597,55432191.368078016,62999676.15227599
60,4819479.553599999,154517094.1819681,46962602.2164548,46053650.12931095,54048333.11802423
61,3796044.07646,152202573.39011797,46290956.20918649,45283575.24733588,53705893.17447563
62,4661394.998140001,168982502.27879015,51262080.993980005,47364363.87904,62416016.53691001
63,4144283.743260001,177148082.8202,53189998.67572,50063972.79192998,65357591.09137
64,4280751.112880001,179639238.64318994,52738110.61500003,49886787.85874002,68070088.22774003
